Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
Item,Cost,Shipping cost (Only displayed if shop isn't within reasonable distance of me),Total price (Shipping + normal cost),Purpose,Website,Needed / not needed for funding for the fallout event,Link
blue LED 5mm 350mcd,$0.95,not needed for me,$0.95,To act as one of the lights that light up the acrylic part,Jaycar,not needed,https://www.jaycar.com.au/blue-5mm-led-350mcd-round-diffused/p/ZD0185
White LED 5mm 4000mcd,$1.15,not needed for me,$1.15,To act as the other light source that will flash with the blue one to light up the acrylic,Jaycar,not needed,https://www.jaycar.com.au/white-5mm-led-4000mcd-round-clear/p/ZD0190
100µF capacitor x 2,0.28 x 2 = $0.56,$7.00,$7.56,,Core Electronics,no needed,https://core-electronics.com.au/radial-capacitor-100uf.html
10 kΩ resistors x 2,$1.65 (no multiplying needed as its a 20 pack),$7.00,$8.65,to be able to connect the LEDs to the circuit without frying them,Core Electronics,no needed,https://core-electronics.com.au/resistor-10k-ohm-1-6th-watt-pth-20-pack.html
330Ω resistor x 2,$2.25 (no multiplying needed as its a 20 pack),$7.00,$9.25,Tp be able to connect the transistors to the circuit without frying them,Core Electronics,not needed,https://core-electronics.com.au/resistor-330-ohm-1-4-watt-pth-20-pack-thick-leads.html
PNP transistor x 2,$3.90 (No multiplication needed as it includs 5x NPN and 5x PNP transistors meaning you can use the extras for other projects,$7.00,$10.90,,Core Electronics,Not needed,https://core-electronics.com.au/bipolar-transistor-kit-5-x-pn2222-npn-and-5-x-pn2907-pnp.html
Small Breadboard,$9.55,$7,$16.55,To provide a place to connce all the different electrical components,Core Electronics,not needed,https://core-electronics.com.au/professional-solderless-breadboard-400-tie-points-metal-backing-plate.html
4.5mm thick creal acrylic 300mm x 200mm,$5.38,$16.00,$21.38,To provide a base to cut with a laser cutter and light up with the LEDs,Koenig Machinery,not needed,https://koenigmachinery.com.au/products/clear-acrylic?variant=53416314405032
3D printing PLA 1Kg,$23.98,$7.95,$31.85,To have PLA for 3D printing the base,Inkstation,not needed,https://www.inkstation.com.au/2102/1-pla-3d-filament-175mm-red-1kg-p-12246.html
Bambu lab mini printer,$319,not needed for me,$319,To print out the base of the lamp,Officeworks,not needed,https://www.officeworks.com.au/shop/officeworks/p/bambu-lab-a1-mini-3d-printer-bama1m
CO2 laser cutter,"$2,850",$0,"$2,850",To cut the acrylic,Style CNC,not needed,https://www.stylecnc.com/co2-laser-cutting-machine/best-co2-laser-cutter.html
Solder,$7.98,Free (In my location at least,$7.98,To be able to stick the wires together to prevent lose wires that may cause any problems and so it looks neat in general,Amazon,not needed,https://www.amazon.com.au/Solder-Welding-Electronic-Components-Soldering/dp/B0F26B8TSQ/ref=asc_df_B0F26B8TSQ?mcid=b2edce23f18a3cec8209330a88a9fec3&tag=googleshopdsk-22&linkCode=df0&hvadid=712291433914&hvpos=&hvnetw=g&hvrand=15429142978442473764&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9071204&hvtargid=pla-2424025594741&psc=1&hvocijid=15429142978442473764-B0F26B8TSQ-&hvexpln=0&gad_source=4
Soldering station,$59.95,$9.95,$69.99,To heat up the solder so that it actually melts,Jaycar,not needed,https://www.jaycar.com.au/duratech-48w-temperature-controlled-soldering-station/p/TS1620?srsltid=AfmBOopg5HbUDk4L01GgtBI5sMikfJQgY-JY1OWJXv0Hm5q5vl4yxGqWA8s
Solder tip cleaner,$10.88,$5.40,$16.28,To clean the soldering iron if the tip gets too messy and prevents the solder from being melted,Amazon,not needed,https://www.amazon.com.au/Soldering-Reusable-Refresher-Equipment-Maintenance/dp/B0D424RWR8
Fume extractor,$42.99,Free delivery,$42.99,To prevent the inhalation of any toxic fumes while soldering,Amazon,not needed,https://www.amazon.com.au/Fume-Extractor-Fan-Prevention-Ventilation/dp/B0DDT7C37V/ref=asc_df_B0DDT7C37V?mcid=e85889876c8f35ca9038900549800bd6&tag=googleshopdsk-22&linkCode=df0&hvadid=712291433908&hvpos=&hvnetw=g&hvrand=7959543567787614393&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9071204&hvtargid=pla-2393387151819&psc=1&hvocijid=7959543567787614393-B0DDT7C37V-&hvexpln=0&gad_source=1
Solder mat,$3.13,Free delivery,$3.13,To make sure you don't make a mess while soldering by providing a small work plane for things to drop on safely,Temu,not needed,https://www.temu.com/au/1pc-silicone-repair-mat-for-electronics-magnetic-soldering-pad-insulated-welding-mat-for-bga-welding-iron-workbench-protector-for-phone-laptop-repair-no-battery-required-g-601099524480864.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2F88fc24dab1fe83f61c3d405ebf13e198.jpg&spec_gallery_id=0&sku_id=17592251151053&share_token=wuUPTXTbIWU4YtMPpGT6BQ_dekTHwjnl85YlzVHVHLKyg9jCAf1LaRGPHnSbr5_YmdN2ZlcOBZzYIhEFhc7j8YyodFTDmyTepnDC6BdFXd1y8tg7fVV0SFytRqZan08Z&_x_vst_scene=adg&_x_ads_sub_channel=shopping&_x_ns_prz_type=-1&_x_ns_sku_id=17592251151053&_x_ns_gid=601099524480864&_x_ads_channel=google&_x_gmc_account=710728018&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=5483888441&_x_ads_set=23023233052&_x_ads_id=186276689998&_x_ads_creative_id=774124430609&_x_ns_source=g&_x_ns_gclid=Cj0KCQjwz9_QBhD_ARIsADnSCfCAf3V64VysS-ye-WdYd6PNZgRzjRu7o3SKsho4U5jklQZMrAUw3rcaAlQvEALw_wcB&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=710728018-17592251151053&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjwz9_QBhA5EjAADkvjjKyeT71Id6Y2TRPacNZKA62ld8muB1AdwNDyfVEaHNAAOeguzqeRbaMeG_MaArtO&_x_ns_gbraid=0AAAAAo4mICE8gkPyIQBXedxB0jC9xbtsL&_x_ns_targetid=pla-2480940157101&refer_page_name=kuiper&refer_page_id=13554_1780035015490_mtwkj5jk2t&refer_page_sn=13554&_x_sessn_id=7i7ei4g36n
Wire strippers,$6.59,Free shipping,$6.59,To strip part of the USB A connecter to connect it to the ccircuit,Temu,not needed,https://www.temu.com/au/professional-wire-stripping-and-crimping-tool-stain-resistant-and-rust-resistant-polished--ginger-black-handle-with-scale--0-24mm2-cable-and-wire-cutting-tool-wire--g-601099580055097.html?top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Faaeaf503-5f1f-46ef-8d75-d6f2ee01dbb1.jpg&spec_gallery_id=0&sku_id=17592463966181&share_token=wuUPTXTbIWU4YtMPpGT6B6R2q0ilAoHN2beovYmL8wNiMZNUjOIYRGnaBsP51wAL_tHsQPVQN61-shk-Zftw2-CUJZOotfkFbgEMF0oKttlM0ehcbdbFk0JCTzPVLJV2mGjgM_ekjLe9fE81S5_A4ORS7S7ZCX2_N-YYgbn-GNH&_x_vst_scene=adg&_x_ads_sub_channel=shopping&_x_ns_prz_type=-1&_x_ns_sku_id=17598339067418&_x_ns_gid=601101118719935&_x_ads_channel=google&_x_gmc_account=710728018&_x_login_type=Google&_x_ns_gg_lnk_type=adr&_x_ads_account=5483888441&_x_ads_set=22918635529&_x_ads_id=182500463165&_x_ads_creative_id=770310249500&_x_ns_source=g&_x_ns_gclid=Cj0KCQjwz9_QBhD_ARIsADnSCfBAc1y1mDSaYqPyeaMwxD1PpNm4g1zks3AqFgKjyK8Ln8TW4r4_zOoaAlriEALw_wcB&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=710728018-17598339067418&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CkAKCAjwz9_QBhA5EjAADkvjjDaD0PsoYYEJGUDzCYuEPInOX-GwzFMk-VuWHgu-o6uATHLeQxJgU69NsIUaAiGF&_x_ns_gbraid=0AAAAAo4mICFxgdkw-ON7H5ZwnWz70U019&_x_ns_targetid=pla-2521130445357&refer_page_name=kuiper&refer_page_id=13554_1780035159781_fjg462dumr&refer_page_sn=13554&_x_sessn_id=tgbughnrmd
